Date,Cashflow
20/12/2023,636.45
21/12/2023,1280.2
22/12/2023,1916.95
26/12/2023,2555
27/12/2023,1906.45
28/12/2023,1255.05
29/12/2023,1897.1
01/01/2024,2538.45
02/01/2024,3177.9
03/01/2024,3821.35
04/01/2024,3178.6
05/01/2024,2536.65
08/01/2024,3163.65
09/01/2024,3789.05
10/01/2024,4410.8
11/01/2024,5031
12/01/2024,4397.4
15/01/2024,3757.3
16/01/2024,3120.4
17/01/2024,3746.4
18/01/2024,4374.7
19/01/2024,5002.45
20/01/2024,4371.05
23/01/2024,4976.15
24/01/2024,5594.45
25/01/2024,6207.2
29/01/2024,5584.25
30/01/2024,4957.5
31/01/2024,4317
01/02/2024,3669.35
02/02/2024,3019.7
