,DATE,HIGH,LOW,PREV. CLOSE,CLOSE
51,20/10/2022,556.8,545.3,553.4,555.4
52,21/10/2022,565.8,557.25,555.4,560.85
53,24/10/2022,572.5,565.9,560.85,570.5
54,25/10/2022,586.2,568.0,570.5,578.55
55,27/10/2022,585.0,577.6,578.55,579.65
56,28/10/2022,582.65,567.0,579.65,570.75
57,31/10/2022,577.45,568.4,570.75,573.8
58,01/11/2022,585.75,574.6,573.8,576.9
59,02/11/2022,578.95,569.9,576.9,573.85
60,03/11/2022,587.95,568.0,573.85,584.9
61,04/11/2022,596.95,580.4,584.9,593.95
62,07/11/2022,622.7,607.7,593.95,614.15
63,09/11/2022,621.0,610.55,614.15,615.55
64,10/11/2022,615.1,602.2,615.55,605.75
65,11/11/2022,619.55,598.5,605.75,601.3
66,14/11/2022,603.95,591.65,601.3,592.55
67,15/11/2022,602.1,592.65,592.55,600.85
68,16/11/2022,603.5,596.0,600.85,599.75
69,17/11/2022,602.75,596.15,599.75,599.05
70,18/11/2022,605.75,597.15,599.05,602.7
71,21/11/2022,602.1,595.35,602.7,598.1
72,22/11/2022,600.7,596.15,598.1,599.1
73,23/11/2022,609.6,601.0,599.1,607.65
74,24/11/2022,611.3,605.8,607.65,609.35
75,25/11/2022,613.7,606.25,609.35,607.4
76,28/11/2022,610.9,602.35,607.4,608.6
77,29/11/2022,611.8,607.1,608.6,608.55
78,30/11/2022,611.4,598.4,608.55,602.45
79,01/12/2022,609.8,601.55,602.45,608.1
80,02/12/2022,609.6,604.25,608.1,607.55
81,05/12/2022,618.0,607.55,607.55,617.3
82,06/12/2022,619.8,607.8,617.3,608.95
83,07/12/2022,612.9,604.5,608.95,607.05
84,08/12/2022,613.8,607.15,607.05,611.65
85,09/12/2022,618.0,609.1,611.65,616.5
86,12/12/2022,618.7,611.0,616.5,613.05
87,13/12/2022,617.4,612.5,613.05,616.75
88,14/12/2022,626.75,617.5,616.75,625.5
89,15/12/2022,629.55,614.3,625.5,615.95
90,16/12/2022,615.6,602.1,615.95,603.35
91,19/12/2022,609.5,603.0,603.35,604.45
92,20/12/2022,606.5,599.55,604.45,604.45
93,21/12/2022,609.15,589.6,604.45,593.4
94,22/12/2022,599.0,587.55,593.4,593.4
95,23/12/2022,590.7,571.5,593.4,574.0
96,26/12/2022,601.7,570.7,574.0,597.1
97,27/12/2022,603.1,593.3,597.1,601.9
98,28/12/2022,607.0,598.55,601.9,601.05
99,29/12/2022,618.0,597.15,601.05,611.8
100,30/12/2022,620.55,611.35,611.8,613.7
101,02/01/2023,619.2,611.2,613.7,612.2
102,03/01/2023,616.6,610.0,612.2,612.4
103,04/01/2023,614.95,604.0,612.4,605.2
104,05/01/2023,611.6,601.95,605.2,605.1
105,06/01/2023,607.45,597.0,605.1,600.65
106,09/01/2023,609.0,600.1,600.65,607.7
107,10/01/2023,609.0,590.6,607.7,595.15
108,11/01/2023,599.5,592.25,595.15,596.7
109,12/01/2023,597.9,590.1,596.7,594.9
110,13/01/2023,602.9,593.65,594.9,600.1
111,16/01/2023,606.1,600.6,600.1,603.0
112,17/01/2023,606.0,586.05,603.0,592.95
113,18/01/2023,597.15,587.6,592.95,591.45
114,19/01/2023,591.75,587.55,591.45,589.85
115,20/01/2023,596.6,590.8,589.85,592.2
116,23/01/2023,601.75,592.95,592.2,600.45
117,24/01/2023,604.6,593.05,600.45,594.35
118,25/01/2023,595.85,567.4,594.35,568.7
119,27/01/2023,568.55,532.25,568.7,539.95
120,30/01/2023,554.35,525.2,539.95,538.2
121,31/01/2023,557.0,537.85,538.2,553.5
122,01/02/2023,565.0,499.35,553.5,527.35
123,02/02/2023,532.65,502.5,527.35,528.1
124,03/02/2023,545.95,519.15,528.1,544.2
125,06/02/2023,558.8,536.55,544.2,545.4
126,07/02/2023,551.4,541.05,545.4,547.1
127,08/02/2023,554.5,545.5,547.1,549.75
128,09/02/2023,552.0,542.8,549.75,550.8
129,10/02/2023,557.25,546.5,550.8,553.05
130,13/02/2023,556.9,533.3,553.05,537.5
131,14/02/2023,544.6,530.75,537.5,540.85
132,15/02/2023,544.65,536.8,540.85,542.25
133,16/02/2023,546.85,538.5,542.25,540.1
134,17/02/2023,539.65,527.75,540.1,531.0
135,20/02/2023,533.95,522.15,531.0,525.15
136,21/02/2023,528.95,522.4,525.15,523.45
137,22/02/2023,521.9,512.5,523.45,516.35
138,23/02/2023,524.0,511.35,516.35,521.0
139,24/02/2023,527.5,517.6,521.0,521.05
140,27/02/2023,529.8,519.0,521.05,527.7
141,28/02/2023,528.45,521.05,527.7,522.8
142,01/03/2023,537.4,523.1,522.8,536.7
143,02/03/2023,539.9,532.5,536.7,533.75
144,03/03/2023,564.3,541.75,533.75,561.2
145,06/03/2023,567.9,559.0,561.2,561.7
146,08/03/2023,565.5,556.45,561.7,564.8
147,09/03/2023,565.75,558.0,564.8,558.9
148,10/03/2023,554.95,545.0,558.9,547.35
149,13/03/2023,553.15,528.45,547.35,530.0
150,14/03/2023,532.8,520.0,530.0,525.4
151,15/03/2023,532.0,515.55,525.4,517.55
152,16/03/2023,529.35,514.3,517.55,524.5
153,17/03/2023,531.6,520.1,524.5,529.8
154,20/03/2023,526.6,515.0,529.8,519.2
155,21/03/2023,523.45,516.45,519.2,521.85
156,22/03/2023,527.0,520.1,521.85,521.55
157,23/03/2023,521.0,511.5,521.55,512.75
158,24/03/2023,514.95,503.45,512.75,505.35
159,27/03/2023,514.15,501.55,505.35,510.15
160,28/03/2023,511.75,503.85,510.15,508.1
161,29/03/2023,518.0,506.3,508.1,516.5
162,31/03/2023,524.9,519.35,516.5,523.75
163,03/04/2023,528.5,522.1,523.75,526.75
164,05/04/2023,527.6,519.05,526.75,523.0
165,06/04/2023,533.7,521.65,523.0,527.65
166,10/04/2023,530.4,524.4,527.65,526.3
167,11/04/2023,535.7,527.15,526.3,532.1
168,12/04/2023,534.0,526.0,532.1,528.2
169,13/04/2023,534.25,527.15,528.2,532.95
170,17/04/2023,545.0,528.0,532.95,544.0
171,18/04/2023,548.5,540.5,544.0,545.85
172,19/04/2023,547.5,538.25,545.85,540.3
173,20/04/2023,545.45,536.65,540.3,544.8
174,21/04/2023,546.4,539.7,544.8,543.15
175,24/04/2023,555.55,543.5,543.15,554.6
176,25/04/2023,567.9,555.0,554.6,561.8
177,26/04/2023,567.0,556.45,561.8,566.35
178,27/04/2023,567.4,561.1,566.35,564.75
179,28/04/2023,580.45,565.5,564.75,578.3
180,02/05/2023,580.85,573.15,578.3,575.3
181,03/05/2023,575.0,569.0,575.3,570.5
182,04/05/2023,580.8,568.5,570.5,580.0
183,05/05/2023,588.25,575.05,580.0,576.5
184,08/05/2023,587.6,577.35,576.5,583.6
185,09/05/2023,586.45,572.1,583.6,573.5
186,10/05/2023,575.0,563.25,573.5,572.2
187,11/05/2023,580.0,572.0,572.2,573.45
188,12/05/2023,580.75,571.55,573.45,578.15
189,15/05/2023,584.0,574.65,578.15,581.9
190,16/05/2023,590.4,582.0,581.9,586.3
191,17/05/2023,590.5,579.5,586.3,586.3
192,18/05/2023,593.9,571.4,586.3,574.2
193,19/05/2023,586.25,569.9,574.2,575.15
194,22/05/2023,580.3,573.45,575.15,577.15
195,23/05/2023,583.7,576.8,577.15,581.6
196,24/05/2023,585.25,578.25,581.6,582.7
197,25/05/2023,582.9,577.0,582.7,581.25
198,26/05/2023,587.75,580.55,581.25,586.0
199,29/05/2023,596.4,588.05,586.0,595.0
200,30/05/2023,595.5,591.5,595.0,592.8
201,31/05/2023,584.8,577.5,592.8,579.85
202,01/06/2023,586.4,581.0,579.85,582.75
203,02/06/2023,588.9,583.0,582.75,587.2
204,05/06/2023,589.8,586.0,587.2,587.2
205,06/06/2023,588.9,583.0,587.2,585.35
206,07/06/2023,590.6,586.0,585.35,589.2
207,08/06/2023,593.95,586.35,589.2,588.5
208,09/06/2023,589.1,576.75,588.5,578.7
209,12/06/2023,581.5,577.7,578.7,578.65
210,13/06/2023,581.4,574.25,578.65,576.4
211,14/06/2023,578.55,575.25,576.4,576.55
212,15/06/2023,576.7,565.25,576.55,566.5
213,16/06/2023,574.7,567.05,566.5,571.25
214,19/06/2023,572.75,565.9,571.25,568.85
215,20/06/2023,569.45,562.55,568.85,567.4
216,21/06/2023,569.5,565.65,567.4,566.35
217,22/06/2023,569.0,561.05,566.35,562.95
218,23/06/2023,562.1,553.8,562.95,554.6
219,26/06/2023,558.5,554.5,554.6,557.05
220,27/06/2023,567.95,555.65,557.05,566.1
221,28/06/2023,574.0,568.55,566.1,569.8
222,30/06/2023,574.0,570.2,569.8,572.85
223,03/07/2023,586.35,573.9,572.85,585.45
224,04/07/2023,595.95,582.25,585.45,589.25
225,05/07/2023,593.7,588.2,589.25,590.6
226,06/07/2023,593.5,589.1,590.6,592.5
227,07/07/2023,595.5,585.5,592.5,593.6
228,10/07/2023,599.8,590.25,593.6,592.6
229,11/07/2023,595.95,587.35,592.6,588.55
230,12/07/2023,594.5,588.2,588.55,589.25
231,13/07/2023,598.0,583.35,589.25,585.65
232,14/07/2023,591.3,580.7,585.65,584.4
233,17/07/2023,602.85,584.2,584.4,601.1
234,18/07/2023,604.05,588.75,601.1,592.35
235,19/07/2023,602.4,592.0,592.35,601.45
236,20/07/2023,610.8,598.75,601.45,610.05
237,21/07/2023,619.5,609.0,610.05,615.1
238,24/07/2023,621.9,614.3,615.1,617.65
239,25/07/2023,621.8,604.2,617.65,609.6
240,26/07/2023,616.35,609.15,609.6,615.15
241,27/07/2023,621.25,613.1,615.15,616.55
242,28/07/2023,619.9,613.6,616.55,616.05
243,31/07/2023,621.0,614.5,616.05,620.2
244,01/08/2023,620.85,610.6,620.2,611.85
245,02/08/2023,610.5,594.1,611.85,598.45
246,03/08/2023,600.85,585.0,598.45,590.5
247,04/08/2023,598.7,571.4,590.5,573.3
248,07/08/2023,577.0,566.65,573.3,567.9
249,08/08/2023,574.25,568.45,567.9,573.1
250,09/08/2023,575.0,568.35,573.1,573.75
251,10/08/2023,577.6,570.1,573.75,573.65
252,11/08/2023,579.0,572.0,573.65,574.15
253,14/08/2023,573.0,558.6,574.15,560.8
254,16/08/2023,566.4,554.0,560.8,565.35
255,17/08/2023,573.15,564.0,565.35,572.15
256,18/08/2023,575.25,567.4,572.15,572.95
257,21/08/2023,575.55,570.75,572.95,571.7
258,22/08/2023,574.45,567.5,571.7,568.5
259,23/08/2023,577.95,566.0,568.5,576.9
260,24/08/2023,582.0,575.55,576.9,576.95
261,25/08/2023,575.3,567.2,576.95,569.95
262,28/08/2023,574.8,569.2,569.95,572.85
263,29/08/2023,576.3,571.85,572.85,574.85
264,30/08/2023,577.7,566.1,574.85,567.4
265,31/08/2023,570.3,559.4,567.4,561.35
266,01/09/2023,571.2,562.1,561.35,569.55
267,04/09/2023,576.35,568.45,569.55,575.55
268,05/09/2023,578.25,571.35,575.55,573.0
269,06/09/2023,574.25,568.0,573.0,570.5
270,07/09/2023,581.0,568.0,570.5,579.05
271,08/09/2023,588.5,579.7,579.05,583.45
272,11/09/2023,592.3,585.35,583.45,591.7
273,12/09/2023,594.25,584.65,591.7,588.35
274,13/09/2023,598.0,583.45,588.35,596.45
275,14/09/2023,603.7,595.2,596.45,597.3
276,15/09/2023,600.7,595.2,597.3,598.8
277,18/09/2023,608.4,597.05,598.8,603.95
278,20/09/2023,606.8,599.4,603.95,601.1
279,21/09/2023,606.6,584.65,601.1,588.15
280,22/09/2023,602.0,591.4,588.15,598.15
281,25/09/2023,601.5,590.45,598.15,594.05
282,26/09/2023,595.0,591.25,594.05,594.4
283,27/09/2023,594.3,588.2,594.4,589.75
284,28/09/2023,595.2,588.85,589.75,589.95
285,29/09/2023,600.0,591.3,589.95,598.55
286,03/10/2023,604.9,589.6,598.55,602.95
287,04/10/2023,600.45,584.45,602.95,586.25
288,05/10/2023,594.35,587.1,586.25,592.15
289,06/10/2023,598.95,592.2,592.15,594.25
290,09/10/2023,589.0,581.55,594.25,585.1
291,10/10/2023,595.0,585.75,585.1,591.65
292,11/10/2023,597.0,587.6,591.65,588.35
293,12/10/2023,593.0,585.0,588.35,586.05
294,13/10/2023,581.3,574.8,586.05,576.15
295,16/10/2023,578.75,571.5,576.15,575.65
296,17/10/2023,579.95,575.3,575.65,576.45
297,18/10/2023,579.25,569.35,576.45,572.65
298,19/10/2023,574.0,567.0,572.65,571.2
299,20/10/2023,570.0,562.1,571.2,563.1
300,23/10/2023,566.0,551.0,563.1,552.95
301,25/10/2023,560.8,553.6,552.95,556.2
302,26/10/2023,552.9,543.2,556.2,547.0
303,27/10/2023,562.5,550.0,547.0,561.15
304,30/10/2023,566.7,556.5,561.15,565.2
305,31/10/2023,569.5,563.15,565.2,565.55
306,01/11/2023,569.65,563.85,565.55,566.4
307,02/11/2023,575.45,567.6,566.4,572.1
308,03/11/2023,579.5,573.45,572.1,578.15
309,06/11/2023,582.5,573.25,578.15,574.35
310,07/11/2023,581.2,572.6,574.35,579.75
311,08/11/2023,582.6,579.0,579.75,580.3
312,09/11/2023,581.85,576.5,580.3,578.35
313,10/11/2023,581.0,575.4,578.35,579.5
314,12/11/2023,584.75,580.1,579.5,581.3
315,13/11/2023,582.5,575.2,581.3,581.35
316,15/11/2023,588.0,582.6,581.35,584.7
317,16/11/2023,588.0,582.9,584.7,584.65
318,17/11/2023,574.5,562.1,584.65,563.05
319,20/11/2023,566.8,560.6,563.05,563.75
320,21/11/2023,566.65,561.0,563.75,561.5
321,22/11/2023,564.5,555.15,561.5,558.95
322,23/11/2023,563.5,558.3,558.95,559.95
323,24/11/2023,562.45,559.25,559.95,560.35
324,28/11/2023,565.2,561.1,560.35,564.45
325,29/11/2023,569.0,565.1,564.45,568.6
326,30/11/2023,570.2,563.65,568.6,564.75
327,01/12/2023,574.2,566.55,564.75,571.75
328,04/12/2023,596.0,584.55,571.75,594.7
329,05/12/2023,611.3,595.05,594.7,608.25
330,06/12/2023,614.0,604.55,608.25,608.45
331,07/12/2023,612.55,605.0,608.45,611.7
332,08/12/2023,616.8,605.35,611.7,614.15
333,11/12/2023,619.9,613.1,614.15,614.25
334,12/12/2023,617.95,610.8,614.25,612.4
335,13/12/2023,620.5,611.65,612.4,619.85
336,14/12/2023,627.75,622.4,619.85,623.65
337,15/12/2023,650.0,619.85,623.65,648.25
338,18/12/2023,655.65,642.4,648.25,648.5
339,19/12/2023,659.6,640.25,648.5,655.4
340,20/12/2023,660.4,633.95,655.4,636.45
341,21/12/2023,648.95,627.5,636.45,643.75
342,22/12/2023,649.4,635.15,643.75,636.75
343,26/12/2023,641.3,635.65,636.75,638.05
344,27/12/2023,649.45,639.0,638.05,648.55
345,28/12/2023,653.3,646.5,648.55,651.4
346,29/12/2023,649.6,639.55,651.4,642.05
