Date,Order_dir,Quantity,Price
28/03/2019,BUY,1,319
29/03/2019,BUY,1,320.75
01/04/2019,BUY,1,322.75
02/04/2019,BUY,1,329
03/04/2019,BUY,1,320.5
30/07/2019,SELL,1,327.55
01/08/2019,SELL,1,317.15
02/08/2019,SELL,1,308.45
05/08/2019,SELL,1,300.25
06/08/2019,SELL,1,301.4
07/08/2019,SELL,1,289.9
08/08/2019,SELL,1,294.35
09/08/2019,SELL,1,291.35
13/08/2019,SELL,1,283.35
14/08/2019,SELL,1,289.75
31/10/2019,BUY,1,312.4
01/11/2019,BUY,1,313.55
04/11/2019,BUY,1,314.3
05/11/2019,BUY,1,319.2
06/11/2019,BUY,1,317.55
07/11/2019,BUY,1,318.15
