Date,Order_dir,Quantity,Price
05/01/2016,SELL,1,88.6
11/01/2016,SELL,1,82.35
12/01/2016,SELL,1,80.8
15/01/2016,SELL,1,74.4
02/03/2016,BUY,1,62.45
03/03/2016,BUY,1,62.5
04/03/2016,BUY,1,63.2
05/04/2016,SELL,1,74.45
06/04/2016,SELL,1,75.5
07/04/2016,SELL,1,75.8
27/05/2016,BUY,1,73.35
30/05/2016,BUY,1,74.65
31/05/2016,BUY,1,72.85
12/07/2016,BUY,1,83.95
13/07/2016,BUY,1,82.35
14/07/2016,SELL,1,81.95
15/07/2016,BUY,1,80.9
18/07/2016,SELL,1,81.1
05/08/2016,BUY,1,77.25
08/08/2016,SELL,1,78.7
09/08/2016,BUY,1,77.6
17/08/2016,BUY,1,74.4
18/08/2016,BUY,1,74.75
19/08/2016,BUY,1,76.95
03/11/2016,SELL,1,64.5
04/11/2016,SELL,1,62.4
09/11/2016,BUY,1,61.9
11/11/2016,BUY,1,63.95
15/11/2016,BUY,1,61.85
22/12/2016,SELL,1,71.7
23/12/2016,SELL,1,71.35
26/12/2016,SELL,1,69.7
02/01/2017,SELL,1,76.95
07/02/2017,BUY,1,91.85
22/03/2017,SELL,1,101.75
23/03/2017,SELL,1,104.55
29/03/2017,BUY,1,104.45
30/03/2017,BUY,1,105.8
18/04/2017,SELL,1,144.9
19/04/2017,SELL,1,145.15
20/04/2017,SELL,1,146.25
21/04/2017,SELL,1,145.95
06/06/2017,SELL,1,128.05
07/06/2017,SELL,1,131.3
28/06/2017,SELL,1,134.4
31/07/2017,BUY,1,137.9
09/08/2017,BUY,1,124.25
10/08/2017,BUY,1,115.85
30/08/2017,SELL,1,128.15
31/08/2017,SELL,1,132.55
01/09/2017,SELL,1,136.6
25/10/2017,BUY,1,127.7
26/10/2017,BUY,1,131
08/12/2017,SELL,1,151.05
15/12/2017,SELL,1,155.2
