Date,Order_dir,Quantity,Price
01/02/2017,SELL,1,1305.7
02/02/2017,SELL,1,1298.7
03/02/2017,SELL,1,1311.05
06/02/2017,SELL,1,1314.1
09/02/2017,BUY,1,1297.65
13/02/2017,SELL,1,1310.2
14/02/2017,SELL,1,1311.1
03/03/2017,BUY,1,1377
06/03/2017,BUY,1,1380.75
08/03/2017,SELL,1,1392.2
10/03/2017,SELL,1,1400.1
27/03/2017,BUY,1,1409.85
28/03/2017,BUY,1,1420.2
29/03/2017,BUY,1,1428.6
30/03/2017,SELL,1,1466.2
03/04/2017,BUY,1,1433.2
05/04/2017,BUY,1,1432.35
12/04/2017,SELL,1,1443.7
18/04/2017,SELL,1,1447.3
19/04/2017,SELL,1,1449
20/04/2017,SELL,1,1462.15
05/05/2017,BUY,1,1532.2
08/05/2017,BUY,1,1534.8
09/05/2017,BUY,1,1535.75
12/05/2017,SELL,1,1551.65
15/05/2017,SELL,1,1553.4
16/05/2017,SELL,1,1559.65
27/06/2017,BUY,1,1667.65
30/06/2017,BUY,1,1652.05
03/07/2017,BUY,1,1658.6
04/07/2017,BUY,1,1653.35
05/07/2017,BUY,1,1648.75
06/07/2017,BUY,1,1658.15
07/07/2017,SELL,1,1667.2
10/07/2017,SELL,1,1676.35
11/07/2017,SELL,1,1680.4
12/07/2017,SELL,1,1681.25
13/07/2017,SELL,1,1683.55
18/07/2017,SELL,1,1683.55
09/08/2017,BUY,1,1764.45
10/08/2017,BUY,1,1760.45
11/08/2017,BUY,1,1749.05
16/08/2017,SELL,1,1781.25
17/08/2017,SELL,1,1765.4
21/08/2017,BUY,1,1743.2
23/08/2017,SELL,1,1772.45
29/08/2017,BUY,1,1746.15
30/08/2017,SELL,1,1768.55
31/08/2017,SELL,1,1776.45
04/09/2017,BUY,1,1750.9
07/09/2017,SELL,1,1766.55
22/09/2017,BUY,1,1824.1
25/09/2017,BUY,1,1799.75
26/09/2017,BUY,1,1792.3
27/09/2017,BUY,1,1776.5
28/09/2017,BUY,1,1795.3
11/10/2017,BUY,1,1790.15
12/10/2017,SELL,1,1818.8
13/10/2017,SELL,1,1850.8
16/10/2017,SELL,1,1857.15
17/10/2017,SELL,1,1851.25
18/10/2017,SELL,1,1868.5
19/10/2017,SELL,1,1848.4
25/10/2017,BUY,1,1795.1
26/10/2017,BUY,1,1795.35
27/10/2017,BUY,1,1791.05
30/10/2017,BUY,1,1815
31/10/2017,BUY,1,1808.5
01/11/2017,BUY,1,1821.2
07/11/2017,SELL,1,1823.7
08/11/2017,SELL,1,1825.95
09/11/2017,SELL,1,1827.85
10/11/2017,BUY,1,1822
13/11/2017,BUY,1,1813.55
14/11/2017,BUY,1,1802.35
15/11/2017,BUY,1,1800.25
16/11/2017,BUY,1,1807.7
20/11/2017,SELL,1,1838.15
21/11/2017,SELL,1,1846.25
22/11/2017,SELL,1,1855.25
23/11/2017,SELL,1,1842.85
24/11/2017,SELL,1,1851.4
27/11/2017,SELL,1,1857.55
28/11/2017,SELL,1,1865.35
29/11/2017,SELL,1,1873.3
05/12/2017,BUY,1,1820.45
06/12/2017,BUY,1,1803.3
