,DATE,HIGH,LOW,PREV. CLOSE,CLOSE,OPEN,VWAP,NO OF TRADES
2,31/12/2018,298.25,295.5,294.8,295.9,297.2,296.5,81758
3,01/01/2019,300.7,293.85,295.9,299.6,297.5,296.77,69723
4,02/01/2019,302.5,293.1,299.6,293.9,299.1,298.2,162196
5,03/01/2019,295.55,290.1,293.9,291.1,295.0,292.87,110626
6,04/01/2019,299.0,291.5,291.1,297.65,292.1,296.18,142962
7,07/01/2019,301.5,295.2,297.65,296.3,301.05,298.25,113554
8,08/01/2019,306.0,294.75,296.3,305.3,295.8,301.96,161941
9,09/01/2019,307.1,300.75,305.3,305.3,306.0,304.37,153567
10,10/01/2019,307.5,303.5,305.3,305.55,305.1,305.6,105369
11,11/01/2019,306.2,300.95,305.55,302.75,305.4,303.57,113356
12,14/01/2019,303.6,299.55,302.75,300.4,301.0,301.15,96381
13,15/01/2019,303.6,301.1,300.4,301.65,302.0,302.2,63046
14,16/01/2019,306.65,302.1,301.65,303.15,303.0,304.5,78064
15,17/01/2019,304.35,295.6,303.15,297.4,303.9,298.93,98812
16,18/01/2019,299.85,294.25,297.4,294.95,298.75,297.21,84248
17,21/01/2019,296.75,291.45,294.95,292.45,295.9,294.06,78580
18,22/01/2019,293.0,288.2,292.45,290.25,293.0,290.18,105223
19,23/01/2019,292.95,285.5,290.25,286.65,290.45,289.24,86994
20,24/01/2019,289.9,285.5,286.65,288.05,286.65,287.7,77968
21,25/01/2019,291.0,283.2,288.05,285.4,289.6,288.24,81514
22,28/01/2019,286.6,277.3,285.4,281.6,285.65,281.3,128898
23,29/01/2019,286.0,276.55,281.6,280.6,281.0,282.25,118187
24,30/01/2019,289.4,280.25,280.6,287.45,281.2,285.36,143925
25,31/01/2019,294.8,288.0,287.45,293.65,290.0,291.77,172059
26,01/02/2019,302.7,282.0,293.65,284.4,296.9,291.96,371608
27,04/02/2019,285.2,277.85,284.4,283.95,282.4,282.0,165027
28,05/02/2019,287.0,283.0,283.95,284.65,284.2,285.21,109065
29,06/02/2019,289.75,283.5,284.65,289.05,285.85,286.98,115663
30,07/02/2019,294.0,286.6,289.05,287.4,289.4,290.17,137834
31,08/02/2019,288.0,282.2,287.4,286.0,285.6,285.03,110716
32,11/02/2019,285.95,280.0,286.0,280.5,285.95,282.05,119512
33,12/02/2019,282.2,274.65,280.5,275.4,280.65,279.25,107018
34,13/02/2019,276.7,266.7,275.4,268.2,276.5,271.46,127592
35,14/02/2019,268.35,263.65,268.2,267.1,268.0,266.33,177357
36,15/02/2019,268.85,261.3,267.1,262.95,268.85,264.01,158152
37,18/02/2019,265.5,258.8,262.95,259.95,264.4,262.46,128502
38,20/02/2019,268.3,264.3,262.9,267.7,264.5,266.29,134477
39,21/02/2019,271.0,267.3,267.7,268.0,270.3,269.15,102689
40,22/02/2019,271.9,267.6,268.0,270.95,267.9,270.17,93599
41,25/02/2019,271.4,267.9,270.95,270.15,271.3,269.49,179172
42,26/02/2019,268.2,263.25,270.15,266.35,266.8,265.93,113275
43,27/02/2019,272.7,266.55,266.35,267.65,268.0,269.18,162785
44,28/02/2019,270.8,267.65,267.65,269.05,267.7,269.19,140073
45,01/03/2019,274.6,270.1,269.05,272.95,270.55,272.87,103387
46,05/03/2019,277.85,271.2,272.95,276.45,271.7,275.82,181828
47,06/03/2019,282.55,276.45,276.45,278.1,277.3,279.31,135192
48,07/03/2019,282.5,277.65,278.1,281.75,279.45,280.16,100561
49,08/03/2019,284.25,279.6,281.75,281.2,281.85,282.38,132214
50,11/03/2019,289.0,283.5,281.2,287.35,285.3,287.26,133900
51,12/03/2019,289.9,285.75,287.35,286.9,289.2,287.68,152809
52,13/03/2019,294.4,284.7,286.9,293.15,288.1,288.93,129887
53,14/03/2019,294.7,290.75,293.15,291.9,294.5,292.34,121789
54,15/03/2019,301.3,292.5,291.9,298.4,292.6,298.17,195292
