,DATE,HIGH,LOW,PREV. CLOSE,CLOSE,OPEN,VWAP,NO OF TRADES
2,29/12/2017,312.0,309.05,308.4,309.9,310.0,310.39,98011
3,01/01/2018,312.75,306.3,309.9,307.1,310.6,309.08,75769
4,02/01/2018,309.0,301.35,307.1,303.25,309.0,304.0,100195
5,03/01/2018,306.45,302.15,303.25,302.85,305.3,304.32,117207
6,04/01/2018,310.2,303.15,302.85,308.5,304.5,307.63,140513
7,05/01/2018,311.4,305.6,308.5,306.35,311.4,308.05,91829
8,08/01/2018,309.5,305.0,306.35,305.8,307.2,306.58,108289
9,09/01/2018,309.5,303.3,305.8,304.3,307.5,305.88,110914
10,10/01/2018,305.85,300.0,304.3,301.1,304.65,302.25,122547
11,11/01/2018,303.0,300.0,301.1,302.2,300.9,301.97,93067
12,12/01/2018,304.65,300.55,302.2,302.25,304.65,302.54,101812
13,15/01/2018,305.25,301.55,302.25,302.6,303.95,303.54,166873
14,16/01/2018,303.35,295.3,302.6,296.15,302.4,299.15,152490
15,17/01/2018,308.4,292.6,296.15,307.1,296.0,302.54,206178
16,18/01/2018,317.8,300.5,307.1,303.25,315.0,309.57,224468
17,19/01/2018,310.0,302.5,303.25,309.25,303.95,307.18,113020
18,22/01/2018,308.75,304.05,309.25,306.5,308.35,306.55,95105
19,23/01/2018,320.55,306.35,306.5,318.1,306.4,313.81,251611
20,24/01/2018,331.6,316.2,318.1,329.9,317.7,323.97,256952
21,25/01/2018,332.75,311.85,329.9,313.15,332.75,317.75,247996
22,29/01/2018,316.9,311.0,313.15,312.1,313.15,313.59,137291
23,30/01/2018,318.85,311.0,312.1,313.55,312.05,314.86,152647
24,31/01/2018,316.6,307.85,313.55,313.25,313.0,312.32,122582
25,01/02/2018,317.4,305.0,313.25,306.05,316.9,310.67,163804
26,02/02/2018,305.75,295.5,306.05,297.35,302.9,300.07,156709
27,05/02/2018,300.4,290.0,297.35,298.05,292.65,295.64,134857
28,06/02/2018,297.3,282.9,298.05,291.75,285.0,289.73,241764
29,07/02/2018,297.9,290.0,291.75,292.8,296.6,293.38,161931
30,08/02/2018,303.3,292.55,292.8,301.4,292.9,298.6,125388
31,09/02/2018,300.6,295.0,301.4,296.4,297.0,297.71,116844
32,12/02/2018,292.4,285.15,296.4,288.75,288.25,289.3,317117
33,14/02/2018,288.7,275.0,288.75,276.2,288.7,280.99,327073
34,15/02/2018,282.3,274.25,276.2,278.7,274.8,279.14,174992
35,16/02/2018,281.2,270.05,278.7,271.65,280.5,273.95,246246
36,19/02/2018,272.0,256.65,271.65,268.5,271.5,263.87,298814
37,20/02/2018,274.2,264.8,268.5,269.65,269.0,269.54,183760
38,21/02/2018,274.1,267.4,269.65,273.3,272.2,271.18,146297
39,22/02/2018,273.6,269.45,273.3,272.6,270.4,272.38,127523
40,23/02/2018,277.2,272.5,272.6,276.05,273.45,275.6,125599
